counties_yield_test,counties_yield_pred_rf,counties_yield_pred_nn
205.9,203.71199999999993,196.0437
208.3,198.828,197.408
228.7,213.372,222.77905
162.9,163.11599999999996,166.83524
217.9,204.88800000000006,213.64127
177.2,199.112,195.7278
170.3,173.13399999999993,159.97916
200.9,202.88400000000013,205.75356
221.1,208.97000000000008,210.64365
156.7,171.80399999999995,169.04227
181.2,146.84199999999998,150.62282
217.2,209.89800000000002,207.40167
221.8,211.09199999999998,205.81857
215.1,210.15199999999996,211.2413
201.4,202.76400000000004,197.72705
211.6,197.57399999999996,190.9143
201.5,200.60999999999996,198.81349
191.7,204.33,210.62875
186.8,194.69,189.9289
90.8,110.45599999999999,106.056526
181.2,175.47399999999993,193.1655
163.0,181.36799999999997,185.21567
195.8,196.85399999999993,193.08795
173.0,182.37599999999998,181.81458
198.8,196.366,195.58282
210.8,205.71999999999997,203.08789
205.3,203.516,195.48163
209.5,198.586,197.50073
213.3,209.424,211.79059
217.2,207.93400000000003,204.90796
206.5,200.06999999999996,196.58307
141.4,169.09599999999995,164.95448
197.8,197.074,189.73825
212.2,212.09400000000008,208.33856
196.5,201.892,198.16673
209.1,205.89000000000007,211.31602
193.2,201.17600000000004,201.80377
220.2,205.592,201.72748
111.1,129.81600000000006,135.30374
182.8,176.30199999999994,170.15105
203.9,200.12000000000003,198.11731
188.4,184.09599999999995,196.6306
173.3,182.84999999999997,182.66888
190.6,202.43599999999998,206.44043
198.6,192.178,197.10223
180.8,173.42199999999997,179.11975
187.7,185.808,180.76349
214.3,209.278,216.3185
194.4,197.018,182.14236
184.0,187.30599999999998,183.52036
182.3,167.078,170.91812
207.8,202.30200000000002,204.1926
208.5,205.45999999999995,201.5097
196.2,201.75600000000003,202.9869
210.3,211.94999999999996,207.0816
140.9,136.63400000000001,133.22783
155.9,155.58399999999997,161.17595
202.3,197.09600000000003,197.01929
202.0,196.00399999999993,186.63232
203.3,205.65200000000002,199.742
215.0,193.24200000000008,192.84424
195.3,192.81200000000004,189.91441
200.4,187.80199999999994,187.7256
181.9,191.12399999999994,187.27193
198.1,210.75999999999993,213.25949
179.0,188.11199999999997,186.1918
136.7,125.87600000000002,138.65263
151.5,170.25199999999998,138.31844
174.4,188.10999999999993,183.92422
190.2,198.034,193.85002
131.3,139.33800000000002,152.25192
202.5,203.822,207.77756
